"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         282,      -6.898964448,      -4.382968037,      -5.746333022,      -1.437206025
          0,           0,         283,      -6.857827376,      -4.447539606,      -5.758911842,      -1.396059641
          0,           0,         284,      -6.826531423,      -4.529501834,      -5.772442662,       -1.36475789
          0,           0,         285,      -6.803622339,      -4.636506339,      -5.786677378,      -1.341845545
          0,           0,         286,      -6.788145095,      -4.784024952,      -5.801298481,      -1.326367309
          0,           0,         287,      -6.779483833,      -5.010415521,      -5.815915754,      -1.317707504
          0,           0,         288,      -6.777273128,      -5.425867597,      -5.830070109,      -1.315501214
          0,           0,         289,      -6.781350687,      -5.284273045,        -5.8432478,      -1.319586928
          0,           0,         290,      -6.791737695,      -4.944471395,       -5.85490767,      -1.329986864
          0,           0,         291,      -6.808641489,      -4.753927776,      -5.864522931,      -1.346909704
          0,           0,         292,      -6.832481268,      -4.627011434,      -5.871634872,      -1.370776414
          0,           0,         293,      -6.863943792,      -4.534891568,        -5.8759083,      -1.402276195
          0,           0,         294,      -6.904085805,      -4.465118853,      -5.877177084,      -1.442469372
          0,           0,         295,      -6.954519147,      -4.411270148,      -5.875467081,      -1.492973467
          0,           0,         296,      -7.017758566,      -4.369638852,      -5.870989597,       -1.55631304
          0,           0,         297,      -7.097926411,      -4.337926822,      -5.864108405,      -1.636629224
          0,           0,         298,      -7.202352982,      -4.314646555,      -5.855289769,      -1.741293465
          0,           0,         299,      -7.345886641,       -4.29881912,      -5.845048413,       -1.88526434
          0,           0,         300,      -7.566177519,      -4.289811126,      -5.833900678,      -2.106611197
          0,           0,         301,      -8.012008246,       -4.28724412,      -5.822324299,      -2.557593388
          0,           0,         302,      -7.975104961,      -4.290946073,      -5.810741035,       -2.50953036
          0,           0,         303,      -7.559775465,      -4.300930414,      -5.799512574,      -2.095805463
          0,           0,         304,      -7.352635314,      -4.317397055,      -5.788922265,      -1.889344325
          0,           0,         305,      -7.218708721,      -4.340754486,      -5.779200354,      -1.755746499
          0,           0,         306,      -7.122670576,       -4.37167335,      -5.770512981,      -1.659899458
          0,           0,         307,      -7.050341985,      -4.411184307,      -5.762968103,      -1.587694072
          0,           0,         308,      -6.994655595,      -4.460852833,      -5.756615733,      -1.532092001
          0,           0,         309,      -6.951613487,      -4.523104546,      -5.751449387,      -1.489109496
          0,           0,         310,      -6.918767803,      -4.601873718,      -5.747412292,      -1.456306454
          0,           0,         311,      -6.894546446,      -4.704035712,      -5.744400057,      -1.432115416
          0,           0,         312,      -6.877918578,      -4.843068945,      -5.742268174,      -1.415508512
          0,           0,         313,      -6.868216137,      -5.050514982,      -5.740844947,      -1.405819676
          0,           0,         314,      -6.865035186,      -5.411593041,      -5.739948284,      -1.402646338
          0,           0,         315,      -6.868182791,      -5.424608754,      -5.739405213,      -1.405796477
          0,           0,         316,      -6.877653374,      -5.065965124,      -5.739073395,      -1.415265049
          0,           0,         317,      -6.893628149,      -4.863153988,       -5.73885928,       -1.43123342
          0,           0,         318,      -6.916497451,      -4.729800207,      -5.738727521,      -1.454091641
          0,           0,         319,      -6.946911995,      -4.633722341,      -5.738700013,      -1.484489573
          0,           0,         320,      -6.985878442,      -4.561230028,       -5.73884405,      -1.523432194
          0,           0,         321,      -7.034932229,      -4.505360703,      -5.739254865,      -1.572451918
          0,           0,         322,      -7.096460741,      -4.462138161,       -5.74003592,      -1.633930723
          0,           0,         323,      -7.174352405,      -4.429114253,       -5.74128208,      -1.711746876
          0,           0,         324,      -7.275451673,      -4.404710318,      -5.743068868,      -1.812723797
          0,           0,         325,      -7.413404616,      -4.387887303,      -5.745449574,      -1.950456586
          0,           0,         326,      -7.621915602,      -4.377968566,      -5.748458038,      -2.158489448
